City,Date,Precip,Weather,Dewpoint,Pressure,Visibility,Windspeed,MaxSpeed,TempMax,TempMin
"ATLANTA 2.3 NE, GA US",1/1/2020,0,sun,26.1,1017.4,10,7.4,11.1,57,36
"ATLANTA 2.3 NE, GA US",1/2/2020,0.02,rain,35.1,1016.1,7.6,4.2,12,57,36
"ATLANTA 2.3 NE, GA US",1/3/2020,1.4,rain,53.1,1011.7,2.1,5.8,13,63,46
"ATLANTA 2.3 NE, GA US",1/4/2020,1.79,rain,49.2,1013.6,7.9,9.5,22.9,63,45
"ATLANTA 2.3 NE, GA US",1/5/2020,0,sun,25.9,1025.1,10,9.9,24.1,59,32
"ATLANTA 2.3 NE, GA US",1/6/2020,0,sun,32.5,1022.5,10,5.1,8,63,32
"ATLANTA 2.3 NE, GA US",1/7/2020,0.03,rain,38.1,1019,9.9,9.8,19,63,37.9
"ATLANTA 2.3 NE, GA US",1/8/2020,0,sun,25.2,1027.9,10,7.7,11.1,61,36
"ATLANTA 2.3 NE, GA US",1/9/2020,0,sun,30,1031.9,10,5.7,13,64,36
"ATLANTA 2.3 NE, GA US",1/10/2020,0,sun,46.2,1030.2,10,8.1,12,66,37
"ATLANTA 2.3 NE, GA US",1/11/2020,0,sun,59.4,1021.6,8.7,11.5,19,70,50
"ATLANTA 2.3 NE, GA US",1/12/2020,1.66,rain,52.2,1022.9,9.5,5.5,15,70,48.9
"ATLANTA 2.3 NE, GA US",1/13/2020,0.31,rain,56.7,1026,7.8,4.1,8.9,69.1,48.9
"ATLANTA 2.3 NE, GA US",1/14/2020,1.12,rain,60.4,1024.9,4,5,19,66,59
"ATLANTA 2.3 NE, GA US",1/15/2020,0.46,rain,57.8,1022.2,9.9,3.6,8,72,55.9
"ATLANTA 2.3 NE, GA US",1/16/2020,0.51,rain,53.2,1025.2,8.4,9.6,20,72,55
"ATLANTA 2.3 NE, GA US",1/17/2020,0,sun,26.6,1032,10,9.5,15,64.9,45
